k,GMM,Kmeans
2,0.8193315266485999,0.8193315266485999
3,0.8193315266485999,0.8193315266485999
4,0.8193315266485999,0.983739837398374
5,0.9480578139114725,0.9706413730803974
6,0.9728997289972899,0.9512195121951219
7,0.9381210478771455,0.941282746160795
8,0.959349593495935,0.9408310749774165
9,0.9534778681120144,0.934056007226739
10,0.9376693766937669,0.9322493224932249
15,0.9092140921409214,0.9652213188798555
20,0.9317976513098465,0.964769647696477
25,0.9525745257452575,0.966576332429991
30,0.9317976513098465,0.960252935862692
35,0.9607046070460704,0.9598012646793135
40,0.952122854561879,0.9598012646793135
