k,GMM,Kmeans
2,-0.0002893084723169083,-0.00034747089158253654
3,0.007237317102765781,0.0005726506659002631
4,0.12683152368328854,0.36027057239087806
5,0.22804835908961496,0.25248408417284623
6,0.22969909850142164,0.18764962133592247
7,0.18709507360410282,0.1518041745613288
8,0.19540635363370762,0.14323993471302748
9,0.17661300209156053,0.13453944655289649
10,0.1580114272135256,0.1300921962468416
15,0.1199685131525302,0.13748514878576387
20,0.11611636977272637,0.12375570221806362
25,0.11501910144904633,0.1177814770059512
30,0.09871580235650908,0.11238258308477216
35,0.10955238952245691,0.10921548277948959
40,0.10121626486221048,0.10209694651505487
