k,type,score,label
2,Kmeans,0.038461,0
2,Kmeans,0.231619,0
2,Kmeans,0.157282,0
2,Kmeans,0.02272,0
2,Kmeans,0.102257,0
2,Kmeans,0.198922,0
2,Kmeans,0.054779,0
2,Kmeans,0.070705,1
2,Kmeans,0.217756,0
2,Kmeans,0.29225,1
2,Kmeans,0.170413,0
2,Kmeans,0.127895,0
2,Kmeans,0.130942,0
2,Kmeans,0.313989,1
2,Kmeans,0.108692,0
2,Kmeans,0.329786,1
2,Kmeans,0.053758,1
2,Kmeans,0.140454,0
2,Kmeans,0.200136,1
2,Kmeans,0.152655,0
2,Kmeans,0.351717,1
2,Kmeans,0.21776,0
2,Kmeans,0.144503,0
2,Kmeans,0.24282,0
2,Kmeans,0.279076,0
2,Kmeans,0.207141,0
2,Kmeans,0.318692,0
2,Kmeans,0.105789,0
2,Kmeans,0.15585,0
2,Kmeans,0.23268,1
2,Kmeans,0.093311,1
2,Kmeans,0.188814,0
2,Kmeans,0.208683,1
2,Kmeans,0.31929,1
2,Kmeans,0.083413,0
2,Kmeans,0.2714,0
2,Kmeans,0.193397,0
2,Kmeans,0.021385,0
2,Kmeans,0.232537,1
2,Kmeans,0.141039,0
2,Kmeans,0.127808,0
2,Kmeans,0.083599,1
2,Kmeans,0.15437,1
2,Kmeans,0.322285,1
2,Kmeans,0.151207,1
2,Kmeans,0.248667,0
2,Kmeans,0.023776,0
2,Kmeans,0.288685,1
2,Kmeans,0.056291,0
2,Kmeans,0.21935,0
2,Kmeans,0.13365,0
2,Kmeans,0.232616,0
2,Kmeans,0.309558,1
2,Kmeans,0.06077,0
2,Kmeans,0.087554,0
2,Kmeans,0.039041,0
2,Kmeans,0.158027,0
2,Kmeans,0.174088,0
2,Kmeans,-0.043393,0
2,Kmeans,0.157908,1
2,Kmeans,0.086579,0
2,Kmeans,0.03851,0
2,Kmeans,0.126862,0
2,Kmeans,0.208448,1
2,Kmeans,0.123762,0
2,Kmeans,0.126402,0
2,Kmeans,0.278789,0
2,Kmeans,0.085,1
2,Kmeans,0.207575,0
2,Kmeans,0.357668,1
2,Kmeans,0.183564,0
2,Kmeans,0.196582,1
2,Kmeans,0.095817,0
2,Kmeans,0.286503,1
2,Kmeans,0.039848,0
2,Kmeans,0.093343,0
2,Kmeans,0.148609,1
2,Kmeans,0.212951,1
2,Kmeans,0.213892,0
2,Kmeans,0.161531,0
2,Kmeans,0.229697,1
2,Kmeans,0.185341,0
2,Kmeans,0.084107,1
2,Kmeans,0.213049,0
2,Kmeans,0.228447,0
2,Kmeans,0.133935,1
2,Kmeans,0.170183,1
2,Kmeans,0.110747,0
2,Kmeans,0.164244,1
2,Kmeans,0.110187,0
