k,GMM,Kmeans
2,0.1763039561781552,0.17541802265415016
3,0.18092923969344119,0.1911616040794747
4,0.1335114220026753,0.20436295513601757
5,0.17544561585905644,0.2220910526823156
6,0.18920592001004036,0.2295796327808107
7,0.16888884267094123,0.22907501280565562
8,0.17671603063563068,0.22767534632600064
9,0.17956674067441067,0.2117093568325375
10,0.19282791229204568,0.21403443178976814
15,0.1601028091521214,0.22776535383697252
20,0.16081676818518817,0.23029664869194635
25,0.18336654972810892,0.2379806377972355
30,0.175595062389216,0.2363783658741898
35,0.1869545314391825,0.24696540199330794
40,0.1757292870980073,0.2462170913448219
