k,GMM,Kmeans
2,0.665277198832847,0.665277198832847
3,0.6948728636932056,0.665277198832847
4,0.6756982075864943,0.6673614005835765
5,0.6752813672363485,0.716548561900792
6,0.7211338057523968,0.7432263443101292
7,0.7357232180075032,0.7261358899541476
8,0.736556898707795,0.7269695706544393
9,0.6990412671946644,0.7065443934972906
10,0.7369737390579408,0.7144643601500625
15,0.7394747811588162,0.7303042934556065
20,0.7561483951646519,0.7578157565652355
25,0.7344726969570654,0.7536473530637766
30,0.744060025010421,0.7448937057107128
35,0.7548978741142143,0.7915798249270529
40,0.775323051271363,0.7886619424760317
