k,GMM,Kmeans
2,-0.0001504749829165288,0.027876560404124784
3,0.04484496630583056,0.04066332319270191
4,0.06505562267388966,0.05169854931043037
5,0.026249926884265702,0.06406185325626522
6,0.04873597637883079,0.0679297411334222
7,0.07473946040566755,0.06707128862862037
8,0.07191821722852879,0.06062634236336952
9,0.034629428023298874,0.06237245451723127
10,0.040387712701760746,0.06209762656780104
15,0.04807885165603553,0.055399834591345294
20,0.04867984865288216,0.06097349247262458
25,0.037861112369599506,0.05340912776236768
30,0.042068835676566524,0.0509111483530727
35,0.047218742534638446,0.058089839623162706
40,0.04691609434552322,0.05933369489407402
