k,type,score,label
2,Kmeans,0.041499,0
2,Kmeans,0.08929,0
2,Kmeans,0.019175,0
2,Kmeans,0.016352,1
2,Kmeans,0.042394,1
2,Kmeans,0.006318,0
2,Kmeans,0.098154,1
2,Kmeans,0.035321,1
2,Kmeans,0.167217,1
2,Kmeans,0.00628,0
2,Kmeans,0.040275,1
2,Kmeans,0.047486,0
2,Kmeans,0.083211,1
2,Kmeans,0.035447,1
2,Kmeans,0.030194,0
2,Kmeans,0.091662,0
2,Kmeans,0.049309,0
2,Kmeans,0.112484,1
2,Kmeans,0.06866,0
2,Kmeans,0.084893,1
2,Kmeans,0.066428,1
2,Kmeans,0.023123,0
2,Kmeans,0.074319,1
2,Kmeans,0.081337,1
2,Kmeans,0.02661,0
2,Kmeans,0.065628,0
2,Kmeans,0.111771,1
2,Kmeans,0.144103,1
2,Kmeans,0.057792,0
2,Kmeans,0.07268,1
2,Kmeans,0.108493,1
2,Kmeans,0.160591,1
2,Kmeans,0.097236,0
2,Kmeans,0.095274,0
2,Kmeans,0.102006,1
2,Kmeans,0.076381,0
2,Kmeans,0.099559,0
2,Kmeans,0.166002,1
2,Kmeans,0.010181,0
2,Kmeans,0.037058,0
2,Kmeans,0.118737,1
2,Kmeans,0.089078,0
2,Kmeans,0.082013,0
2,Kmeans,0.048648,0
2,Kmeans,0.194651,1
2,Kmeans,0.049822,0
2,Kmeans,0.164928,1
2,Kmeans,0.025699,1
2,Kmeans,0.066986,0
2,Kmeans,0.088205,0
2,Kmeans,0.071441,1
2,Kmeans,0.040294,1
2,Kmeans,0.095108,0
2,Kmeans,0.011006,0
2,Kmeans,0.161457,1
2,Kmeans,-0.007477,0
2,Kmeans,0.064938,0
2,Kmeans,0.01288,1
2,Kmeans,0.157075,1
2,Kmeans,0.050678,0
2,Kmeans,0.090906,0
2,Kmeans,0.07812,0
2,Kmeans,0.061347,0
2,Kmeans,0.090314,0
2,Kmeans,0.089246,0
2,Kmeans,0.032603,0
2,Kmeans,0.022792,0
2,Kmeans,0.047873,0
2,Kmeans,0.086797,0
2,Kmeans,0.105569,0
2,Kmeans,0.106061,0
2,Kmeans,0.056098,0
2,Kmeans,0.107721,1
2,Kmeans,0.051232,0
2,Kmeans,0.042081,0
2,Kmeans,0.054187,0
2,Kmeans,0.119872,0
2,Kmeans,0.144103,1
2,Kmeans,0.032111,1
2,Kmeans,0.06938,0
2,Kmeans,0.112785,0
2,Kmeans,0.080736,0
2,Kmeans,0.052902,0
2,Kmeans,0.141555,1
2,Kmeans,-0.004449,0
2,Kmeans,0.021075,1
2,Kmeans,0.043618,1
2,Kmeans,0.055071,0
2,Kmeans,0.04153,0
2,Kmeans,0.024796,0
2,Kmeans,0.07673,1
2,Kmeans,0.158393,1
2,Kmeans,0.182838,1
2,Kmeans,-0.015663,0
2,Kmeans,0.117094,0
2,Kmeans,0.096711,0
2,Kmeans,0.080082,0
2,Kmeans,0.043735,0
2,Kmeans,0.065707,0
2,Kmeans,0.1216,1
2,Kmeans,0.024223,1
2,Kmeans,0.158938,1
2,Kmeans,0.061183,0
2,Kmeans,0.043034,0
2,Kmeans,0.09489,0
2,Kmeans,0.027275,1
2,Kmeans,0.06018,0
2,Kmeans,0.078308,0
2,Kmeans,0.053929,1
2,Kmeans,0.029723,0
2,Kmeans,0.092182,0
2,Kmeans,0.070073,1
2,Kmeans,0.114679,1
2,Kmeans,0.06639,1
2,Kmeans,0.087566,0
2,Kmeans,0.026664,0
2,Kmeans,0.08886,1
2,Kmeans,0.078477,0
2,Kmeans,0.053814,0
2,Kmeans,0.095031,0
2,Kmeans,0.078695,0
2,Kmeans,0.080253,1
2,Kmeans,0.03027,1
2,Kmeans,0.102158,0
2,Kmeans,0.075626,0
2,Kmeans,-0.003801,0
2,Kmeans,0.121894,0
2,Kmeans,-0.010991,0
2,Kmeans,0.124955,1
2,Kmeans,0.095108,0
2,Kmeans,0.053089,0
2,Kmeans,-0.000136,0
2,Kmeans,0.142698,0
2,Kmeans,0.109995,1
2,Kmeans,0.01949,1
2,Kmeans,0.189672,1
2,Kmeans,-0.016476,0
2,Kmeans,0.066428,1
2,Kmeans,0.014615,0
2,Kmeans,0.11015,0
2,Kmeans,0.03375,0
2,Kmeans,0.032116,0
2,Kmeans,0.163532,1
2,Kmeans,0.013786,0
2,Kmeans,0.018266,1
2,Kmeans,0.055214,1
2,Kmeans,0.064164,0
2,Kmeans,0.056246,1
2,Kmeans,0.070297,1
2,Kmeans,0.00512,0
2,Kmeans,0.090971,1
2,Kmeans,0.004282,1
2,Kmeans,0.079594,0
2,Kmeans,0.063967,1
2,Kmeans,0.11584,1
2,Kmeans,0.097998,0
2,Kmeans,0.128473,1
2,Kmeans,0.047035,0
2,Kmeans,0.033883,0
2,Kmeans,0.041159,0
2,Kmeans,0.081647,0
2,Kmeans,0.052342,0
2,Kmeans,0.134037,0
2,Kmeans,0.060607,0
2,Kmeans,0.068826,0
2,Kmeans,0.04787,1
2,Kmeans,0.132441,0
2,Kmeans,0.097488,1
2,Kmeans,0.153218,1
2,Kmeans,0.107176,1
2,Kmeans,0.129233,1
2,Kmeans,0.115272,0
2,Kmeans,0.008239,0
2,Kmeans,0.110254,1
2,Kmeans,0.052446,1
2,Kmeans,-0.017618,0
2,Kmeans,0.116108,0
2,Kmeans,0.062769,1
2,Kmeans,0.106181,0
2,Kmeans,0.133686,1
2,Kmeans,0.117813,1
2,Kmeans,0.066415,1
2,Kmeans,0.084729,0
2,Kmeans,0.098036,0
2,Kmeans,0.090958,1
2,Kmeans,0.09304,0
2,Kmeans,0.082824,0
2,Kmeans,0.044253,0
2,Kmeans,0.114003,0
2,Kmeans,0.143321,0
2,Kmeans,0.145386,1
2,Kmeans,0.045382,1
2,Kmeans,0.039482,1
2,Kmeans,0.087132,1
2,Kmeans,0.085116,0
2,Kmeans,0.10795,0
2,Kmeans,0.114654,0
2,Kmeans,0.081773,0
2,Kmeans,0.062769,1
2,Kmeans,0.048513,0
2,Kmeans,0.082481,0
2,Kmeans,0.080952,0
2,Kmeans,0.09381,0
2,Kmeans,0.10217,0
2,Kmeans,0.060149,0
2,Kmeans,0.082495,1
2,Kmeans,0.105633,0
2,Kmeans,0.080473,0
2,Kmeans,0.029441,0
2,Kmeans,0.012769,0
2,Kmeans,0.056465,1
2,Kmeans,0.082006,0
2,Kmeans,0.093234,0
2,Kmeans,0.058902,1
2,Kmeans,0.086139,0
2,Kmeans,0.09275,0
2,Kmeans,0.100583,1
2,Kmeans,0.010575,0
2,Kmeans,0.05217,0
2,Kmeans,0.165324,1
2,Kmeans,0.002832,0
2,Kmeans,0.114054,0
2,Kmeans,0.119328,0
2,Kmeans,0.08707,1
2,Kmeans,0.038,1
2,Kmeans,0.079741,0
2,Kmeans,0.107638,0
2,Kmeans,0.115718,1
2,Kmeans,0.141401,1
