k,GMM,Kmeans
2,0.8826364663969118,0.07466560559402453
3,0.15037890505156518,0.08990163526930424
4,0.06416250653470199,0.08788649176550789
5,0.02542746802314265,0.08663922775867339
6,0.05510982272679577,0.09104387205048367
7,0.05384739877921469,0.09095039080795304
8,0.03199511773035514,0.09739982825439034
9,0.022350668973505877,0.09910936483063834
10,0.0017135746445952078,0.0997759887156147
15,0.024443050654925778,0.09421111418763208
20,0.031574621538231824,0.0923778611496544
25,0.017632228378877252,0.08989824271385725
30,0.018645941854913126,0.08830642462212072
35,0.0354493502855587,0.0939269332918544
40,0.04211833049064044,0.09849291936493992
