k,GMM,Kmeans
2,0.8193315266485999,0.8193315266485999
3,0.8193315266485999,0.8193315266485999
4,0.8654019873532068,0.991869918699187
5,0.8482384823848238,0.9859981933152665
6,0.8943089430894309,0.950316169828365
7,0.9173441734417345,0.9471544715447154
8,0.8631436314363143,0.9607046070460704
9,0.8897922312556459,0.9584462511291779
10,0.9336043360433605,0.9552845528455285
15,0.9417344173441734,0.9656729900632339
20,0.9304426377597109,0.9670280036133695
25,0.924119241192412,0.960252935862692
30,0.9439927732610659,0.9588979223125564
35,0.9259259259259259,0.9598012646793135
40,0.9525745257452575,0.9679313459801264
