k,GMM,Kmeans
2,0.1355191268253821,0.12719115795042663
3,0.20891494792443507,0.11145378874913212
4,0.1883530418465868,0.39150527191004303
5,0.15250658459007457,0.2952238278820864
6,0.16657199508733525,0.21047127811120203
7,0.16672242211444932,0.17878876999519183
8,0.12855238835058516,0.17256839384292227
9,0.14764994706081078,0.15731535029832375
10,0.15600043302323635,0.14388562726886017
15,0.1220591286822064,0.13474617623287444
20,0.10906587945378356,0.12225372840372198
25,0.10199088657361943,0.11064862087063516
30,0.10711007202699922,0.10140845061360623
35,0.09195328955143595,0.09932722821383723
40,0.09869684428441643,0.10237854600647456
