k,type,score,label
2,Kmeans,0.276503,0
2,Kmeans,0.143199,0
2,Kmeans,-0.051332,1
2,Kmeans,0.007865,1
2,Kmeans,0.201971,0
2,Kmeans,0.245443,0
2,Kmeans,0.063223,1
2,Kmeans,0.007291,1
2,Kmeans,0.235091,0
2,Kmeans,0.06408,1
2,Kmeans,0.060801,1
2,Kmeans,-0.006296,1
2,Kmeans,0.083241,1
2,Kmeans,0.117162,1
2,Kmeans,0.055539,1
2,Kmeans,0.122484,1
2,Kmeans,0.011578,1
2,Kmeans,0.274689,0
2,Kmeans,0.049244,1
2,Kmeans,0.068356,1
2,Kmeans,0.069864,1
2,Kmeans,0.315229,0
2,Kmeans,0.273491,0
2,Kmeans,0.33275,0
2,Kmeans,0.144094,0
2,Kmeans,0.012472,1
2,Kmeans,0.110127,0
2,Kmeans,0.013639,1
2,Kmeans,0.190328,0
2,Kmeans,0.230453,0
2,Kmeans,0.276426,0
2,Kmeans,0.253868,0
2,Kmeans,0.111402,1
2,Kmeans,0.077893,1
2,Kmeans,-0.016462,1
2,Kmeans,0.352642,0
2,Kmeans,0.329115,0
2,Kmeans,0.01647,1
2,Kmeans,0.082937,1
2,Kmeans,0.274179,0
2,Kmeans,-0.0484,1
2,Kmeans,0.006174,1
2,Kmeans,-0.006941,1
2,Kmeans,0.043405,1
2,Kmeans,0.166617,0
2,Kmeans,0.179353,0
2,Kmeans,0.271522,0
2,Kmeans,0.146764,1
2,Kmeans,0.030451,1
2,Kmeans,0.358534,0
2,Kmeans,0.307276,0
2,Kmeans,0.063884,1
2,Kmeans,0.127851,1
2,Kmeans,0.058844,1
2,Kmeans,0.110508,0
2,Kmeans,-0.003309,1
2,Kmeans,0.160104,0
2,Kmeans,0.064766,1
2,Kmeans,-0.06762,1
2,Kmeans,0.054395,1
2,Kmeans,0.055544,1
2,Kmeans,0.035362,1
2,Kmeans,0.302186,0
2,Kmeans,0.012783,1
2,Kmeans,0.007066,1
2,Kmeans,0.065091,1
2,Kmeans,0.291829,0
2,Kmeans,0.190095,0
2,Kmeans,-0.009371,1
2,Kmeans,0.066839,1
2,Kmeans,0.083514,1
2,Kmeans,0.108354,1
2,Kmeans,0.314019,0
2,Kmeans,0.093212,1
2,Kmeans,0.181925,0
2,Kmeans,0.053512,1
2,Kmeans,0.132701,1
2,Kmeans,0.060397,1
2,Kmeans,0.276876,0
2,Kmeans,0.116497,1
2,Kmeans,0.221218,0
2,Kmeans,0.062338,1
2,Kmeans,0.035166,1
2,Kmeans,0.266306,0
2,Kmeans,0.037601,1
2,Kmeans,0.040507,1
2,Kmeans,0.186408,0
2,Kmeans,0.104789,1
2,Kmeans,0.023272,1
2,Kmeans,0.088773,1
2,Kmeans,0.056847,1
2,Kmeans,0.114037,1
2,Kmeans,0.271371,0
2,Kmeans,-0.070401,1
2,Kmeans,0.323944,0
2,Kmeans,0.112874,0
2,Kmeans,0.133232,1
2,Kmeans,0.041762,1
2,Kmeans,0.077698,1
2,Kmeans,-0.011617,1
2,Kmeans,-0.016618,1
2,Kmeans,0.226967,0
2,Kmeans,-0.03541,1
2,Kmeans,0.269773,0
2,Kmeans,0.075176,1
2,Kmeans,-0.021344,1
2,Kmeans,0.028519,1
2,Kmeans,-0.02993,1
2,Kmeans,0.349448,0
2,Kmeans,0.119154,1
2,Kmeans,0.294184,0
2,Kmeans,0.059066,1
2,Kmeans,-0.062781,1
2,Kmeans,0.123582,1
2,Kmeans,-0.010771,1
2,Kmeans,0.073878,1
2,Kmeans,0.232783,0
2,Kmeans,-0.011648,1
2,Kmeans,0.07333,1
2,Kmeans,0.046387,1
2,Kmeans,-0.036894,1
2,Kmeans,0.32701,0
2,Kmeans,0.056213,1
2,Kmeans,0.040391,1
2,Kmeans,0.059418,1
2,Kmeans,0.077837,1
2,Kmeans,0.00738,1
2,Kmeans,0.109586,0
2,Kmeans,0.153588,0
2,Kmeans,0.074449,1
2,Kmeans,0.291405,0
2,Kmeans,-0.016755,1
2,Kmeans,0.079065,1
2,Kmeans,0.110284,1
2,Kmeans,0.036781,1
2,Kmeans,0.1383,1
2,Kmeans,0.357225,0
2,Kmeans,0.099991,1
2,Kmeans,0.279067,0
2,Kmeans,0.208928,0
2,Kmeans,0.043732,1
2,Kmeans,0.2257,0
2,Kmeans,0.116171,1
2,Kmeans,0.25227,0
2,Kmeans,-0.086393,1
2,Kmeans,0.032806,1
2,Kmeans,0.070623,1
2,Kmeans,0.111133,1
2,Kmeans,0.013692,1
2,Kmeans,0.127993,1
2,Kmeans,0.125223,0
2,Kmeans,0.003721,1
2,Kmeans,0.213767,0
2,Kmeans,0.042374,1
2,Kmeans,0.055243,1
2,Kmeans,0.042317,1
2,Kmeans,0.177665,0
2,Kmeans,-0.045979,1
2,Kmeans,0.189756,0
2,Kmeans,0.010021,1
2,Kmeans,0.197449,0
2,Kmeans,0.135538,1
2,Kmeans,0.080785,1
2,Kmeans,0.084008,1
2,Kmeans,0.050947,1
2,Kmeans,-0.010197,1
2,Kmeans,0.268674,0
2,Kmeans,0.284449,0
2,Kmeans,-0.028348,1
2,Kmeans,-0.016588,1
2,Kmeans,-0.024238,1
2,Kmeans,0.0751,1
2,Kmeans,0.06218,1
2,Kmeans,0.067691,1
2,Kmeans,0.187328,0
2,Kmeans,0.253084,0
2,Kmeans,0.215115,0
2,Kmeans,0.116485,0
2,Kmeans,0.052122,1
2,Kmeans,0.056161,1
2,Kmeans,0.077549,1
2,Kmeans,-0.0197,1
2,Kmeans,-0.032524,1
2,Kmeans,0.198574,0
2,Kmeans,0.072001,1
2,Kmeans,0.300267,0
2,Kmeans,0.326302,0
2,Kmeans,0.087173,1
2,Kmeans,0.24552,0
2,Kmeans,0.00475,1
2,Kmeans,0.190098,0
2,Kmeans,0.060803,1
2,Kmeans,0.030217,1
2,Kmeans,0.315043,0
2,Kmeans,0.013333,1
2,Kmeans,0.114523,1
2,Kmeans,0.025707,1
2,Kmeans,0.081609,1
2,Kmeans,0.312057,0
2,Kmeans,0.131828,0
2,Kmeans,0.240333,0
2,Kmeans,0.14204,1
2,Kmeans,0.135568,0
2,Kmeans,-0.063728,1
2,Kmeans,0.124184,1
2,Kmeans,0.105789,1
2,Kmeans,0.004679,1
2,Kmeans,0.043578,1
2,Kmeans,0.325591,0
2,Kmeans,-0.005207,1
2,Kmeans,0.079676,1
2,Kmeans,0.055382,1
2,Kmeans,0.051157,1
2,Kmeans,0.00574,1
2,Kmeans,0.198933,0
2,Kmeans,0.043169,1
2,Kmeans,0.10705,1
2,Kmeans,-0.00254,1
2,Kmeans,0.061858,1
2,Kmeans,-0.057906,1
2,Kmeans,-0.055075,1
2,Kmeans,0.002584,1
2,Kmeans,0.005951,1
2,Kmeans,0.05578,1
2,Kmeans,0.019611,1
2,Kmeans,0.224193,0
2,Kmeans,0.152918,0
2,Kmeans,0.31597,0
2,Kmeans,0.114755,1
2,Kmeans,-0.051536,1
2,Kmeans,-0.025744,1
2,Kmeans,0.02296,1
2,Kmeans,0.021461,1
2,Kmeans,0.08018,1
2,Kmeans,-0.050612,1
2,Kmeans,0.116212,1
2,Kmeans,0.18865,0
2,Kmeans,0.326767,0
2,Kmeans,-0.061092,1
2,Kmeans,0.101149,1
2,Kmeans,0.255011,0
2,Kmeans,0.121765,1
2,Kmeans,0.035611,1
2,Kmeans,0.065748,1
2,Kmeans,0.239031,0
2,Kmeans,0.118915,1
2,Kmeans,-0.038977,1
2,Kmeans,0.036108,1
2,Kmeans,0.038281,1
2,Kmeans,0.300955,0
2,Kmeans,0.068074,1
2,Kmeans,-0.053931,1
2,Kmeans,0.103032,1
2,Kmeans,-0.035964,1
2,Kmeans,0.054007,1
2,Kmeans,0.007872,1
2,Kmeans,0.092825,1
2,Kmeans,-0.012505,1
2,Kmeans,0.294064,0
2,Kmeans,-0.030403,1
2,Kmeans,0.002236,1
2,Kmeans,-0.062566,1
2,Kmeans,0.076566,1
2,Kmeans,0.046413,1
2,Kmeans,-0.027772,1
2,Kmeans,0.042423,1
2,Kmeans,0.245008,0
2,Kmeans,0.137861,0
2,Kmeans,0.17379,0
2,Kmeans,0.157195,0
2,Kmeans,0.082659,1
2,Kmeans,0.232814,0
2,Kmeans,0.357828,0
2,Kmeans,-0.015394,1
2,Kmeans,0.139551,1
2,Kmeans,0.077538,1
2,Kmeans,0.053376,1
2,Kmeans,0.003177,1
2,Kmeans,0.103401,1
2,Kmeans,0.010277,1
2,Kmeans,0.001672,1
2,Kmeans,0.150943,0
2,Kmeans,0.330545,0
2,Kmeans,-0.036968,1
2,Kmeans,0.058825,1
2,Kmeans,-0.055955,1
2,Kmeans,0.086896,1
2,Kmeans,-0.024191,1
2,Kmeans,0.079703,1
2,Kmeans,0.307577,0
2,Kmeans,0.076289,0
2,Kmeans,0.108637,0
2,Kmeans,0.12871,1
2,Kmeans,0.140911,0
2,Kmeans,-0.054638,1
2,Kmeans,0.036228,1
2,Kmeans,-0.026566,1
2,Kmeans,-0.021383,1
2,Kmeans,0.038363,1
2,Kmeans,0.080504,1
2,Kmeans,0.261172,0
2,Kmeans,0.06566,1
2,Kmeans,-0.027898,1
2,Kmeans,0.102145,1
2,Kmeans,-0.046886,1
2,Kmeans,-0.034991,1
2,Kmeans,0.104577,1
2,Kmeans,0.059056,1
2,Kmeans,0.115137,1
2,Kmeans,-0.033503,1
2,Kmeans,-0.01456,1
2,Kmeans,0.093254,1
2,Kmeans,0.256471,0
2,Kmeans,-0.027927,1
2,Kmeans,0.125359,1
2,Kmeans,0.318855,0
2,Kmeans,0.063623,1
2,Kmeans,0.089307,1
2,Kmeans,0.001714,1
2,Kmeans,0.076262,1
2,Kmeans,0.208847,0
2,Kmeans,0.074962,1
2,Kmeans,-0.055092,1
2,Kmeans,0.318966,0
2,Kmeans,0.223421,0
2,Kmeans,0.12277,1
2,Kmeans,0.124218,1
2,Kmeans,0.031273,1
2,Kmeans,0.09673,1
2,Kmeans,0.090841,1
2,Kmeans,0.32427,0
2,Kmeans,0.20443,0
2,Kmeans,0.218011,0
2,Kmeans,0.064282,1
2,Kmeans,0.35412,0
2,Kmeans,0.021918,1
2,Kmeans,0.108114,1
2,Kmeans,0.109677,0
2,Kmeans,0.350851,0
2,Kmeans,0.353041,0
2,Kmeans,0.316212,0
2,Kmeans,0.294075,0
2,Kmeans,0.13729,0
2,Kmeans,0.211894,0
2,Kmeans,0.1081,1
2,Kmeans,0.05903,1
2,Kmeans,-0.048545,1
2,Kmeans,0.117063,1
2,Kmeans,0.089962,1
2,Kmeans,0.186769,0
2,Kmeans,0.122833,1
2,Kmeans,0.119494,1
2,Kmeans,0.124585,1
2,Kmeans,0.049325,1
2,Kmeans,0.00562,1
2,Kmeans,0.111484,0
2,Kmeans,0.108911,1
2,Kmeans,0.109244,1
2,Kmeans,0.020191,1
2,Kmeans,0.045797,1
2,Kmeans,0.040093,1
2,Kmeans,-0.00988,1
2,Kmeans,0.150213,0
2,Kmeans,0.237192,0
2,Kmeans,0.186206,0
2,Kmeans,0.044357,1
2,Kmeans,0.025362,1
2,Kmeans,0.117647,1
2,Kmeans,0.057697,1
2,Kmeans,0.075986,0
2,Kmeans,0.28926,0
2,Kmeans,-0.036656,1
2,Kmeans,0.045152,1
2,Kmeans,0.215092,0
2,Kmeans,0.070894,1
2,Kmeans,0.019153,1
2,Kmeans,0.043832,1
2,Kmeans,0.100432,1
2,Kmeans,0.091753,1
2,Kmeans,0.14229,1
2,Kmeans,0.281574,0
2,Kmeans,0.05735,1
2,Kmeans,0.219672,0
2,Kmeans,-0.050157,1
2,Kmeans,0.200458,0
2,Kmeans,0.0389,1
2,Kmeans,0.073211,1
2,Kmeans,0.022753,1
2,Kmeans,0.227229,0
2,Kmeans,-0.067302,1
2,Kmeans,0.248463,0
2,Kmeans,0.031586,1
2,Kmeans,0.008859,1
2,Kmeans,0.116161,0
2,Kmeans,0.31318,0
2,Kmeans,0.296943,0
2,Kmeans,0.034623,0
2,Kmeans,0.250443,0
2,Kmeans,0.044405,1
2,Kmeans,0.327305,0
2,Kmeans,0.084022,1
2,Kmeans,0.053689,1
2,Kmeans,0.122646,1
2,Kmeans,0.056031,1
2,Kmeans,-0.023843,1
2,Kmeans,0.046246,1
2,Kmeans,0.148635,0
2,Kmeans,0.043147,1
2,Kmeans,0.086602,1
2,Kmeans,0.015719,1
2,Kmeans,0.200949,0
2,Kmeans,0.108308,1
2,Kmeans,0.101216,0
2,Kmeans,0.27092,0
2,Kmeans,0.270772,0
2,Kmeans,0.120322,0
2,Kmeans,-0.033596,1
2,Kmeans,0.041706,1
2,Kmeans,0.152476,0
2,Kmeans,0.093541,1
2,Kmeans,0.236263,0
2,Kmeans,0.084389,1
2,Kmeans,0.080612,1
2,Kmeans,0.073709,1
2,Kmeans,0.128875,1
2,Kmeans,0.022914,1
2,Kmeans,-0.023278,1
2,Kmeans,0.013604,1
2,Kmeans,0.353322,0
2,Kmeans,0.142085,0
2,Kmeans,0.006867,1
2,Kmeans,0.319904,0
2,Kmeans,0.054857,1
2,Kmeans,0.142896,1
2,Kmeans,0.288405,0
2,Kmeans,0.308169,0
2,Kmeans,0.149974,0
2,Kmeans,0.00919,1
2,Kmeans,0.021793,1
2,Kmeans,0.334638,0
2,Kmeans,0.310216,0
2,Kmeans,0.349559,0
2,Kmeans,0.119285,1
2,Kmeans,0.141639,1
2,Kmeans,0.304998,0
2,Kmeans,-0.100513,1
2,Kmeans,0.062176,1
2,Kmeans,0.112903,1
2,Kmeans,0.080409,1
2,Kmeans,-0.076054,1
2,Kmeans,0.153962,0
2,Kmeans,-0.004931,1
2,Kmeans,0.078223,1
2,Kmeans,0.156286,0
2,Kmeans,0.20599,0
2,Kmeans,0.081289,1
2,Kmeans,-0.026409,1
2,Kmeans,0.112588,1
2,Kmeans,0.320419,0
2,Kmeans,0.248086,0
2,Kmeans,0.282864,0
2,Kmeans,0.171187,0
2,Kmeans,0.137876,1
2,Kmeans,0.230668,0
2,Kmeans,0.089515,1
2,Kmeans,-0.002023,1
2,Kmeans,0.045171,1
2,Kmeans,-0.04438,1
2,Kmeans,0.231017,0
2,Kmeans,0.17902,0
2,Kmeans,0.159948,1
2,Kmeans,-0.0049,1
2,Kmeans,0.335762,0
2,Kmeans,0.227121,0
2,Kmeans,0.273223,0
2,Kmeans,0.116954,1
2,Kmeans,0.040242,1
2,Kmeans,0.077414,1
2,Kmeans,0.005551,1
2,Kmeans,0.105994,1
2,Kmeans,0.066886,1
2,Kmeans,0.250144,0
2,Kmeans,0.263972,0
2,Kmeans,0.045785,1
2,Kmeans,0.05115,1
2,Kmeans,0.051364,1
2,Kmeans,0.024417,1
2,Kmeans,0.105164,1
2,Kmeans,0.015319,1
2,Kmeans,0.062613,1
2,Kmeans,0.312141,0
2,Kmeans,-0.034441,1
2,Kmeans,-0.04233,1
2,Kmeans,-0.052912,1
2,Kmeans,0.104126,1
2,Kmeans,0.063141,0
2,Kmeans,0.116947,1
2,Kmeans,0.066395,1
2,Kmeans,0.081533,1
2,Kmeans,0.058771,1
2,Kmeans,0.208645,0
2,Kmeans,0.281168,0
2,Kmeans,0.086248,1
2,Kmeans,0.047768,1
2,Kmeans,-0.063914,1
2,Kmeans,0.064553,1
2,Kmeans,0.024681,1
2,Kmeans,0.218554,0
2,Kmeans,0.062217,1
2,Kmeans,0.134755,1
2,Kmeans,0.224393,0
2,Kmeans,0.038253,1
2,Kmeans,0.066068,1
2,Kmeans,0.067812,1
2,Kmeans,0.021476,1
2,Kmeans,0.207809,0
2,Kmeans,-0.025764,1
2,Kmeans,0.066713,1
2,Kmeans,0.301508,0
2,Kmeans,0.278592,0
2,Kmeans,-0.008105,1
2,Kmeans,0.145178,1
2,Kmeans,0.057893,1
2,Kmeans,0.137373,0
2,Kmeans,0.084015,1
2,Kmeans,0.014161,1
2,Kmeans,0.241677,0
2,Kmeans,0.256952,0
2,Kmeans,-0.008704,1
2,Kmeans,0.185885,0
2,Kmeans,-0.039411,1
2,Kmeans,0.225944,0
2,Kmeans,0.108383,1
2,Kmeans,0.005353,1
2,Kmeans,0.105745,1
2,Kmeans,-0.017458,1
2,Kmeans,0.258835,0
2,Kmeans,0.03392,1
2,Kmeans,0.051279,1
2,Kmeans,0.064058,1
2,Kmeans,0.293473,0
2,Kmeans,-0.038506,1
2,Kmeans,-0.013249,1
2,Kmeans,0.193616,0
2,Kmeans,0.090383,1
2,Kmeans,0.207081,0
2,Kmeans,0.070138,1
2,Kmeans,0.293325,0
2,Kmeans,0.221764,0
2,Kmeans,0.04434,0
2,Kmeans,0.287018,0
2,Kmeans,0.183349,0
2,Kmeans,0.145022,1
2,Kmeans,-0.019613,1
2,Kmeans,0.038894,1
2,Kmeans,0.069069,1
2,Kmeans,0.032418,1
2,Kmeans,0.076814,1
2,Kmeans,-0.055188,1
2,Kmeans,0.015465,1
2,Kmeans,0.288951,0
2,Kmeans,0.04517,1
2,Kmeans,0.066017,1
2,Kmeans,0.236844,0
2,Kmeans,0.035926,1
2,Kmeans,0.100069,1
2,Kmeans,-0.001865,1
2,Kmeans,0.0955,1
2,Kmeans,0.2141,0
2,Kmeans,0.169989,0
2,Kmeans,0.024645,1
2,Kmeans,0.039674,1
2,Kmeans,0.100862,1
2,Kmeans,-0.042318,1
2,Kmeans,-0.041809,1
2,Kmeans,0.173585,0
2,Kmeans,0.307299,0
2,Kmeans,0.21842,0
2,Kmeans,0.179337,0
2,Kmeans,0.041342,1
2,Kmeans,0.231674,0
2,Kmeans,0.067204,1
2,Kmeans,0.068072,1
2,Kmeans,0.114991,1
2,Kmeans,-0.070227,1
2,Kmeans,0.051954,1
2,Kmeans,0.144817,0
2,Kmeans,0.228507,0
2,Kmeans,0.343647,0
2,Kmeans,0.120969,1
2,Kmeans,0.059392,1
2,Kmeans,0.008233,1
2,Kmeans,0.201766,0
2,Kmeans,0.044116,1
2,Kmeans,0.017468,1
2,Kmeans,0.323083,0
2,Kmeans,0.050065,1
2,Kmeans,0.031802,1
2,Kmeans,0.113948,1
2,Kmeans,0.000548,1
2,Kmeans,0.04829,1
2,Kmeans,0.142346,1
2,Kmeans,0.047648,1
2,Kmeans,0.109166,1
2,Kmeans,0.247013,0
2,Kmeans,0.183114,0
2,Kmeans,0.279074,0
2,Kmeans,0.326515,0
2,Kmeans,0.031119,1
2,Kmeans,0.051177,1
2,Kmeans,0.271673,0
2,Kmeans,0.347499,0
2,Kmeans,-0.053404,1
2,Kmeans,0.025739,1
2,Kmeans,0.266928,0
2,Kmeans,0.227274,0
2,Kmeans,-0.083421,1
2,Kmeans,0.104433,1
2,Kmeans,0.124817,1
2,Kmeans,0.30004,0
2,Kmeans,0.149638,0
2,Kmeans,-0.035203,1
2,Kmeans,0.305244,0
2,Kmeans,-0.031465,1
2,Kmeans,0.129043,0
2,Kmeans,-0.056102,1
2,Kmeans,0.12743,1
2,Kmeans,0.047503,1
2,Kmeans,0.122681,1
2,Kmeans,-0.004757,1
2,Kmeans,0.132444,1
2,Kmeans,0.078126,1
2,Kmeans,0.248219,0
2,Kmeans,0.310435,0
2,Kmeans,-0.04848,1
2,Kmeans,0.060981,1
2,Kmeans,-0.034847,1
2,Kmeans,0.009575,1
2,Kmeans,0.02747,1
2,Kmeans,0.283774,0
2,Kmeans,0.263283,0
2,Kmeans,-0.035308,1
2,Kmeans,0.053149,1
2,Kmeans,0.128578,1
2,Kmeans,0.030352,1
2,Kmeans,-0.024781,1
2,Kmeans,0.295833,0
2,Kmeans,0.065221,1
2,Kmeans,0.14941,0
2,Kmeans,0.122159,0
2,Kmeans,-0.015627,1
2,Kmeans,0.211375,0
2,Kmeans,0.265954,0
2,Kmeans,0.137485,1
2,Kmeans,0.126821,1
2,Kmeans,-0.048279,1
2,Kmeans,0.147028,0
2,Kmeans,0.186195,0
2,Kmeans,0.147518,0
2,Kmeans,0.306551,0
2,Kmeans,0.301721,0
2,Kmeans,0.03388,1
2,Kmeans,0.053317,1
2,Kmeans,0.05496,1
2,Kmeans,0.083103,0
2,Kmeans,0.004576,1
2,Kmeans,0.261549,0
2,Kmeans,0.030934,1
2,Kmeans,0.03154,1
2,Kmeans,0.15399,0
2,Kmeans,0.320917,0
2,Kmeans,-0.001056,1
2,Kmeans,0.3479,0
2,Kmeans,0.310852,0
2,Kmeans,-0.056649,1
2,Kmeans,0.048974,1
2,Kmeans,-0.000546,1
2,Kmeans,0.132616,1
2,Kmeans,0.023547,1
2,Kmeans,0.072416,1
2,Kmeans,0.114532,1
2,Kmeans,-0.07744,1
2,Kmeans,0.05706,1
2,Kmeans,0.069097,1
2,Kmeans,0.150083,0
2,Kmeans,0.034061,1
2,Kmeans,0.050221,1
2,Kmeans,0.076803,1
2,Kmeans,0.320043,0
2,Kmeans,0.245954,0
2,Kmeans,0.137835,1
2,Kmeans,-0.083955,1
2,Kmeans,0.090566,1
2,Kmeans,0.101433,0
2,Kmeans,0.104687,1
2,Kmeans,0.009131,1
