k,GMM,Kmeans
2,0.10900140393197089,0.1095848431296728
3,0.07284238225120504,0.12195510021382389
4,0.05605095767307734,0.1457743347986917
5,0.02932098220245474,0.12124570307177486
6,0.022233549743831946,0.15695819577357317
7,0.046569848380201465,0.13244130900418752
8,0.03182329413839092,0.1497563452424908
9,0.03606489462380553,0.14968433603992534
10,0.06116922254734594,0.1436180205598782
15,0.05946163503922107,0.14469371752978566
20,0.05880605052538223,0.14858248695480047
25,0.056752102927728684,0.14637687275152872
30,0.0642645545247842,0.1479534575271823
35,0.06707848435536086,0.1413176019542171
40,0.08129971489331222,0.1356455739884802
