k,GMM,Kmeans
2,0.6765318882867861,0.6740308461859108
3,0.673197165485619,0.6865360566902876
4,0.68528553563985,0.688620258441017
5,0.6911213005418925,0.6857023759899958
6,0.6894539391413089,0.6911213005418925
7,0.688620258441017,0.6894539391413089
8,0.6919549812421842,0.6919549812421842
9,0.6915381408920384,0.6919549812421842
10,0.6919549812421842,0.6898707794914548
15,0.6948728636932056,0.6961233847436432
20,0.6961233847436432,0.6957065443934973
25,0.6961233847436432,0.6965402250937891
30,0.6957065443934973,0.6932055022926219
35,0.7036265110462693,0.7023759899958316
40,0.7007086285952481,0.7019591496456857
