k,GMM,Kmeans
2,0.06867087520877616,0.06964268695070235
3,0.061653421971771774,0.06416289776916302
4,0.053078233403354984,0.05174028719899557
5,0.04852092247634693,0.04760659397762915
6,0.04457006954802684,0.04537578062672885
7,0.041634525608085234,0.041383434172408924
8,0.03904780732481681,0.04109300081798219
9,0.03936809117995791,0.03955521130836451
10,0.036798889302926324,0.036749579583479644
15,0.03198766353303483,0.031536471291245746
20,0.029228682388818324,0.02831891722987844
25,0.02611792436212251,0.02690393140800548
30,0.025385024013512753,0.025041502792598085
35,0.024721436118453198,0.024523545641836456
40,0.02358537088374392,0.023038642182093845
