,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_km__n_clusters,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.16336283683776856,0.06146849976526437,0.0013965606689453126,0.0004889866038844589,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 2}",0.6299301242236024,0.5938589146984949,0.6045678459471565,0.5000000000000001,0.6653800940438873,0.5987737807038297,0.05513600120964122,119,0.6108775476323012,0.6377339802935715,0.6369679715649753,0.5000000000000001,0.6314749163024244,0.6034108831586545,0.052614266068343254
1,0.1021268367767334,0.006036661896453685,0.001596212387084961,0.0007982256164687223,0.1,"(50, 50)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 3}",0.49687499999999996,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.49937343684868696,0.0012511708377636092,293,0.5093311458119708,0.5,0.49999999999999994,0.5000000000000001,0.5000000000000001,0.5018662291623942,0.0037324583247883075
2,0.15837602615356444,0.014305873139782073,0.0015960693359375,0.0004884025071128872,0.1,"(50, 50)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 4}",0.5,0.5938005023462295,0.5999240639420551,0.6560050940438872,0.5889302507836993,0.5876664535184621,0.05011299218777437,148,0.5000000000000001,0.6482330569359162,0.6358018818443734,0.6071639522549327,0.5913463587748795,0.5965090499620203,0.05229431438026029
3,0.19248480796813966,0.03159461486773256,0.0013963699340820313,0.0004886555773535435,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 5}",0.6702057453416148,0.5876769407504041,0.5844545259837614,0.6122355015673981,0.6310638714733544,0.6171456720417827,0.03155249663272892,65,0.6240002343772889,0.6362147703071597,0.6062410195234644,0.585341689491433,0.6125688244342117,0.6128733076267114,0.01715052379154209
4,0.16017165184020996,0.025204020450916544,0.0019951343536376955,3.8146972656249997e-07,0.1,"(50, 50)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 6}",0.6097534937888198,0.5953094881130863,0.5134056348449153,0.5000000000000001,0.5000000000000001,0.543757686341085,0.04851752667217399,260,0.6023691637613648,0.6509183566429301,0.5620406082206885,0.5000000000000001,0.5000000000000001,0.5630656257249967,0.05868299138416495
5,0.19906702041625976,0.01878199676461013,0.001595926284790039,0.0004884804053141244,0.1,"(50, 50)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 7}",0.609772903726708,0.5998656515897894,0.6061352440662787,0.6575039184952979,0.5764596394984327,0.6099415343419992,0.026433557258110245,89,0.6008261799431635,0.6563103018415922,0.6377510569212792,0.6326659854757762,0.5654034594591962,0.6185913967282015,0.0320389201704164
6,0.1906895160675049,0.03089730609566189,0.0017955780029296875,0.00039901753342625314,0.1,"(50, 50)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 8}",0.6160229037267081,0.5937128838178314,0.5401974337506573,0.5390380094043888,0.663812695924765,0.5905583397157507,0.047338084336017806,140,0.6098143048271956,0.6500925797173573,0.5552020287033715,0.5345568382350255,0.6302893275087047,0.5959910157983309,0.04411878594284864
7,0.18430685997009277,0.017856542327663382,0.0013965606689453126,0.0004887918739736174,0.1,"(50, 50)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 9}",0.6608113354037266,0.5906072937557195,0.6000408886465859,0.6294964733542321,0.5764596394984327,0.6115107786322324,0.030182294613282482,83,0.6313526010996201,0.6497309211376938,0.6327250394592075,0.5948099587022948,0.577040132211114,0.6171317305219862,0.02688378479562495
8,0.2131317138671875,0.01848094042530154,0.0013963699340820313,0.0007977724841283613,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 10}",0.642294254658385,0.5892735450456591,0.578330964387936,0.6575039184952979,0.6684855015673982,0.6271540780445353,0.0365377515533946,38,0.6221386439320697,0.6303885908610768,0.6273202867897647,0.6326659854757762,0.6282768103216252,0.6281580634760624,0.003528342256835041
9,0.23736486434936524,0.01149376141001116,0.0017951488494873046,0.00039904164236579005,0.1,"(50, 50)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 15}",0.6453998447204967,0.590665706107985,0.567592826963142,0.6590713166144202,0.5779976489028216,0.6081523366683862,0.03698303543312284,97,0.6221239953515171,0.6493863391857375,0.6102589060712289,0.6315187593394803,0.5890519065022878,0.6204679812900503,0.020259952977963378
