k,type,score,label
2,Kmeans,0.17699,0
2,Kmeans,0.564724,0
2,Kmeans,0.743411,1
2,Kmeans,0.744221,0
2,Kmeans,0.316184,0
2,Kmeans,0.595276,0
2,Kmeans,0.52261,1
2,Kmeans,0.749937,1
2,Kmeans,0.753778,1
2,Kmeans,0.23347,0
2,Kmeans,0.641229,0
2,Kmeans,0.32837,0
2,Kmeans,0.474908,1
2,Kmeans,0.739485,0
2,Kmeans,0.480463,0
2,Kmeans,0.721247,0
2,Kmeans,0.29694,1
2,Kmeans,0.727229,1
2,Kmeans,0.736249,0
2,Kmeans,0.756323,1
2,Kmeans,0.694975,0
2,Kmeans,0.607946,0
2,Kmeans,0.398433,1
2,Kmeans,0.688911,1
2,Kmeans,0.745973,0
2,Kmeans,0.442614,0
2,Kmeans,0.755795,1
2,Kmeans,0.744043,1
2,Kmeans,0.746922,0
2,Kmeans,0.521431,1
2,Kmeans,0.480855,1
2,Kmeans,0.670289,1
2,Kmeans,0.628515,0
2,Kmeans,0.691988,0
2,Kmeans,0.70444,1
2,Kmeans,0.716162,0
2,Kmeans,0.747911,0
2,Kmeans,0.732409,1
2,Kmeans,0.74658,0
2,Kmeans,0.471285,0
2,Kmeans,0.754796,1
2,Kmeans,0.73548,0
2,Kmeans,0.603767,0
2,Kmeans,0.438527,0
2,Kmeans,0.735569,1
2,Kmeans,0.732418,0
2,Kmeans,0.654933,1
2,Kmeans,0.753915,1
2,Kmeans,0.712986,0
2,Kmeans,0.73326,0
2,Kmeans,0.752948,1
2,Kmeans,0.664931,0
2,Kmeans,0.738248,0
2,Kmeans,0.479593,0
2,Kmeans,0.753379,1
2,Kmeans,0.734856,1
2,Kmeans,0.137875,1
2,Kmeans,0.69161,0
2,Kmeans,0.756178,1
2,Kmeans,0.094062,0
2,Kmeans,0.396532,0
2,Kmeans,0.528864,0
2,Kmeans,0.547058,1
2,Kmeans,0.572546,0
2,Kmeans,0.700887,0
2,Kmeans,0.326327,0
2,Kmeans,0.138598,1
2,Kmeans,0.636809,0
2,Kmeans,0.747802,0
2,Kmeans,0.531666,0
2,Kmeans,0.734579,0
2,Kmeans,0.31427,0
2,Kmeans,0.740529,1
2,Kmeans,0.71845,0
2,Kmeans,0.508641,1
2,Kmeans,0.637924,0
2,Kmeans,0.73947,0
2,Kmeans,0.744043,1
2,Kmeans,0.625972,1
2,Kmeans,0.682537,0
2,Kmeans,0.632716,0
2,Kmeans,0.716941,0
2,Kmeans,0.743896,1
2,Kmeans,0.718945,1
2,Kmeans,0.683404,0
2,Kmeans,0.756123,1
2,Kmeans,0.714382,1
2,Kmeans,0.746302,0
2,Kmeans,0.747906,0
2,Kmeans,0.710187,0
2,Kmeans,0.756287,1
2,Kmeans,0.702615,1
2,Kmeans,0.719355,1
2,Kmeans,0.441969,1
2,Kmeans,0.66463,0
2,Kmeans,0.745076,0
2,Kmeans,0.725817,0
2,Kmeans,0.044715,0
2,Kmeans,0.398973,0
2,Kmeans,0.755889,1
2,Kmeans,0.2037,1
2,Kmeans,0.753796,1
2,Kmeans,0.419007,0
2,Kmeans,0.644973,0
2,Kmeans,0.73347,0
2,Kmeans,0.283621,0
2,Kmeans,0.601466,0
2,Kmeans,0.696619,0
2,Kmeans,0.728239,0
2,Kmeans,0.254998,1
2,Kmeans,0.734732,0
2,Kmeans,0.578086,0
2,Kmeans,0.675305,1
2,Kmeans,0.023797,0
2,Kmeans,0.592533,0
2,Kmeans,0.747869,0
2,Kmeans,0.719225,1
2,Kmeans,0.561791,0
2,Kmeans,0.702505,0
2,Kmeans,0.739075,0
2,Kmeans,0.696052,0
2,Kmeans,0.728496,1
2,Kmeans,0.707203,1
2,Kmeans,0.629395,0
2,Kmeans,0.674565,0
2,Kmeans,0.42728,1
2,Kmeans,0.743221,0
2,Kmeans,0.452274,0
2,Kmeans,0.738654,1
2,Kmeans,0.738248,0
2,Kmeans,0.695441,0
2,Kmeans,0.546322,1
2,Kmeans,0.740158,0
2,Kmeans,0.711834,1
2,Kmeans,0.612534,0
2,Kmeans,0.736279,1
2,Kmeans,0.210257,1
2,Kmeans,0.694975,0
2,Kmeans,0.604393,0
2,Kmeans,0.747732,0
2,Kmeans,0.729922,0
2,Kmeans,0.403143,0
2,Kmeans,0.748363,1
2,Kmeans,0.117774,0
2,Kmeans,0.681104,0
2,Kmeans,0.742484,1
2,Kmeans,0.740813,0
2,Kmeans,0.651404,1
2,Kmeans,0.712874,1
2,Kmeans,0.679136,1
2,Kmeans,0.749964,1
2,Kmeans,0.228212,1
2,Kmeans,0.746271,0
2,Kmeans,0.520161,0
2,Kmeans,0.743609,1
2,Kmeans,0.674368,0
2,Kmeans,0.510665,1
2,Kmeans,0.699245,1
2,Kmeans,0.692817,1
2,Kmeans,0.612846,0
2,Kmeans,0.632273,0
2,Kmeans,0.737103,0
2,Kmeans,0.609015,0
2,Kmeans,0.204382,0
2,Kmeans,0.544141,0
2,Kmeans,0.043175,1
2,Kmeans,0.739257,0
2,Kmeans,0.717411,1
2,Kmeans,0.755979,1
2,Kmeans,0.731395,1
2,Kmeans,0.658066,1
2,Kmeans,0.744864,0
2,Kmeans,0.267319,1
2,Kmeans,0.752811,1
2,Kmeans,0.740828,0
2,Kmeans,0.477101,0
2,Kmeans,0.630456,0
2,Kmeans,0.744954,1
2,Kmeans,0.683002,0
2,Kmeans,0.666459,1
2,Kmeans,0.690088,1
2,Kmeans,0.69045,1
2,Kmeans,0.687112,0
2,Kmeans,0.747956,0
2,Kmeans,0.753918,1
2,Kmeans,0.714404,0
2,Kmeans,0.737266,0
2,Kmeans,0.541978,1
2,Kmeans,0.747962,0
2,Kmeans,0.615121,0
2,Kmeans,0.733709,1
2,Kmeans,0.613166,1
2,Kmeans,0.617047,0
2,Kmeans,0.660321,1
2,Kmeans,0.674096,0
2,Kmeans,0.666706,0
2,Kmeans,0.627576,0
2,Kmeans,0.732345,0
2,Kmeans,0.744954,1
2,Kmeans,0.678177,0
2,Kmeans,0.667647,0
2,Kmeans,0.663895,0
2,Kmeans,0.719056,0
2,Kmeans,0.640566,0
2,Kmeans,0.522398,0
2,Kmeans,0.745658,1
2,Kmeans,0.653607,0
2,Kmeans,0.725857,0
2,Kmeans,0.693207,0
2,Kmeans,0.659422,0
2,Kmeans,0.726168,1
2,Kmeans,0.280169,0
2,Kmeans,0.719661,0
2,Kmeans,0.298972,1
2,Kmeans,0.526869,0
2,Kmeans,0.734221,0
2,Kmeans,0.745038,1
2,Kmeans,0.745273,0
2,Kmeans,0.732414,0
2,Kmeans,0.755484,1
2,Kmeans,0.747011,0
2,Kmeans,0.706159,0
2,Kmeans,0.714541,0
2,Kmeans,0.751733,1
2,Kmeans,0.547871,0
2,Kmeans,0.74774,0
2,Kmeans,0.733673,0
2,Kmeans,0.754491,1
2,Kmeans,0.653486,1
2,Kmeans,0.676139,1
2,Kmeans,0.244656,0
2,Kmeans,0.749987,1
2,Kmeans,0.716451,0
2,Kmeans,0.417777,0
2,Kmeans,0.61649,1
2,Kmeans,0.747182,0
2,Kmeans,0.756134,1
2,Kmeans,0.656397,0
2,Kmeans,0.221456,1
2,Kmeans,0.755372,1
2,Kmeans,0.746903,0
2,Kmeans,0.585346,1
2,Kmeans,0.719191,0
2,Kmeans,0.692681,0
2,Kmeans,0.709844,0
2,Kmeans,0.657873,0
2,Kmeans,0.746141,0
2,Kmeans,0.186497,1
2,Kmeans,0.744595,0
2,Kmeans,0.197241,1
2,Kmeans,0.747488,0
2,Kmeans,0.747941,0
2,Kmeans,0.619673,0
2,Kmeans,0.732215,0
2,Kmeans,0.627197,1
2,Kmeans,0.690846,1
2,Kmeans,0.690387,0
2,Kmeans,0.565116,0
2,Kmeans,0.241655,1
2,Kmeans,0.384083,1
2,Kmeans,0.530057,0
2,Kmeans,0.449786,1
2,Kmeans,0.638915,0
2,Kmeans,0.715199,1
2,Kmeans,0.629723,0
2,Kmeans,0.714754,1
2,Kmeans,0.178955,1
2,Kmeans,0.624608,1
2,Kmeans,0.399982,0
2,Kmeans,0.115015,0
2,Kmeans,0.56115,0
2,Kmeans,0.751054,1
2,Kmeans,0.618718,0
2,Kmeans,0.609203,0
2,Kmeans,0.613166,1
2,Kmeans,0.755492,1
2,Kmeans,0.699222,1
2,Kmeans,0.747828,0
