k,GMM,Kmeans
2,0.6166567574588034,0.6151489298040758
3,0.5570485616790248,0.5695767426082928
4,0.5436471026324166,0.5443216468161655
5,0.521965464017828,0.5326444418832494
6,0.5279722420730114,0.527015304461677
7,0.5257308044150314,0.5277234678234707
8,0.5191457103023082,0.525821202557983
9,0.5266957651689953,0.5304250793608885
10,0.5176253652525369,0.5200326047878239
15,0.5305030082448926,0.5353483211028112
20,0.5265916473466911,0.5317873049174898
25,0.5145725450590557,0.5343155733367981
30,0.540974422429055,0.5412952503961169
35,0.5492736355701543,0.5461027643514231
40,0.5450698254059122,0.5445312970572291
