k,GMM,Kmeans
2,0.09825913010633702,1.0
3,0.4698929351638392,0.46323187420684525
4,0.4251564317971382,0.4251564317971382
5,0.33161291744212207,0.3998339654544942
6,0.3159635809417834,0.3139432805001875
7,0.3077705408259556,0.31287963394474944
8,0.28856184278316316,0.29304937124767727
9,0.28708609440125227,0.285623386062622
10,0.28624602698424456,0.2689660997297126
15,0.2639502402369447,0.25317420523642387
20,0.2604849477888131,0.24280474391604948
25,0.2451181854812314,0.23724865075594007
30,0.24057779660230447,0.23329540079757574
35,0.2354286136935223,0.2281537060219835
40,0.22795215312429132,0.2243192885173674
