k,type,score,label
2,Kmeans,0.655237,1
2,Kmeans,0.693935,1
2,Kmeans,0.693935,1
2,Kmeans,0.141359,0
2,Kmeans,0.655237,1
2,Kmeans,0.655237,1
2,Kmeans,0.126688,0
2,Kmeans,0.693935,1
2,Kmeans,0.655237,1
2,Kmeans,0.537636,1
2,Kmeans,0.119094,0
2,Kmeans,0.537636,1
2,Kmeans,0.693935,1
2,Kmeans,0.693935,1
2,Kmeans,0.537636,1
2,Kmeans,0.693935,1
2,Kmeans,0.693935,1
2,Kmeans,0.655237,1
2,Kmeans,0.693935,1
2,Kmeans,0.060918,0
2,Kmeans,0.693935,1
2,Kmeans,0.655237,1
2,Kmeans,0.655237,1
2,Kmeans,0.655237,1
2,Kmeans,0.602018,1
2,Kmeans,0.537636,1
2,Kmeans,0.504488,1
2,Kmeans,0.537636,1
2,Kmeans,0.655237,1
2,Kmeans,0.655237,1
2,Kmeans,0.655237,1
2,Kmeans,0.655237,1
2,Kmeans,0.226512,0
2,Kmeans,0.693935,1
2,Kmeans,0.043793,0
2,Kmeans,0.655237,1
2,Kmeans,0.655237,1
2,Kmeans,0.602018,1
2,Kmeans,0.693935,1
2,Kmeans,0.655237,1
2,Kmeans,0.504488,1
2,Kmeans,0.602018,1
2,Kmeans,0.537636,1
2,Kmeans,0.537636,1
2,Kmeans,0.655237,1
2,Kmeans,0.693935,1
2,Kmeans,0.655237,1
2,Kmeans,-0.019058,0
2,Kmeans,0.693935,1
2,Kmeans,0.655237,1
2,Kmeans,0.655237,1
2,Kmeans,0.537636,1
2,Kmeans,0.693935,1
2,Kmeans,0.030298,0
2,Kmeans,0.655237,1
2,Kmeans,0.537636,1
2,Kmeans,0.693935,1
2,Kmeans,0.693935,1
2,Kmeans,0.693935,1
2,Kmeans,0.537636,1
2,Kmeans,0.693935,1
2,Kmeans,0.693935,1
2,Kmeans,0.655237,1
2,Kmeans,0.693935,1
2,Kmeans,0.220934,0
2,Kmeans,0.693935,1
2,Kmeans,0.655237,1
2,Kmeans,0.655237,1
2,Kmeans,0.504488,1
2,Kmeans,0.693935,1
2,Kmeans,0.693935,1
2,Kmeans,0.537636,1
2,Kmeans,0.655237,1
2,Kmeans,0.693935,1
2,Kmeans,0.655237,1
2,Kmeans,0.693935,1
2,Kmeans,0.693935,1
2,Kmeans,0.141359,0
2,Kmeans,0.655237,1
2,Kmeans,0.693935,1
2,Kmeans,0.655237,1
2,Kmeans,0.078261,0
2,Kmeans,0.235766,0
2,Kmeans,0.655237,1
2,Kmeans,0.693935,1
2,Kmeans,0.693935,1
2,Kmeans,0.655237,1
2,Kmeans,0.143798,0
2,Kmeans,0.693935,1
2,Kmeans,0.20005,0
2,Kmeans,0.151154,0
2,Kmeans,0.693935,1
2,Kmeans,0.655237,1
2,Kmeans,0.537636,1
2,Kmeans,0.655237,1
2,Kmeans,0.693935,1
2,Kmeans,0.693935,1
2,Kmeans,-0.033158,0
2,Kmeans,0.005321,0
2,Kmeans,0.504488,1
2,Kmeans,0.193639,0
2,Kmeans,0.655237,1
2,Kmeans,0.693935,1
2,Kmeans,0.655237,1
2,Kmeans,0.693935,1
2,Kmeans,0.693935,1
2,Kmeans,0.693935,1
2,Kmeans,0.693935,1
2,Kmeans,0.655237,1
2,Kmeans,0.167349,0
2,Kmeans,0.655237,1
2,Kmeans,0.693935,1
2,Kmeans,0.693935,1
2,Kmeans,-0.003777,0
2,Kmeans,0.602018,1
2,Kmeans,0.054405,0
2,Kmeans,0.655237,1
2,Kmeans,0.693935,1
