k,GMM,Kmeans
2,0.43876609436350544,0.5479547000506694
3,0.6040137196965157,0.6036912297204495
4,0.647936236395954,0.647936236395954
5,0.7899842262902774,0.6875338330507781
6,0.8311400505483376,0.8309388329983851
7,0.8155794384553077,0.8374370874549467
8,0.8545123574282415,0.8754486037320052
9,0.8487275079845147,0.866245744743253
10,0.866963937455727,0.8868166878612403
15,0.888075336476726,0.8798631946302385
20,0.875785189512406,0.8926569737025801
25,0.8654295724544083,0.8992890992920388
30,0.8777697894024816,0.8973772489605176
35,0.8478251060974046,0.8990148124049417
40,0.8600385084817976,0.8952962081349375
