k,GMM,Kmeans
2,0.8018326102914104,1.0
3,0.6027233867034004,0.6027233867034004
4,0.554912347301785,0.5491576321435541
5,0.5091592962384719,0.5091592962384719
6,0.5044624136559938,0.5044624136559938
7,0.5044624136559936,0.5044624136559938
8,0.5044624136559936,0.5044624136559936
9,0.5044624136559936,0.5044624136559936
10,0.5044624136559936,0.5044624136559936
15,0.5044624136559936,0.5044624136559936
20,0.5044624136559936,0.5044624136559936
25,0.5044624136559936,0.5044624136559936
30,0.5044624136559936,0.5044624136559936
35,0.5044624136559936,0.5044624136559936
40,0.5044624136559936,0.5044624136559936
