k,GMM,Kmeans
2,0.8193315266485999,0.8193315266485999
3,0.8193315266485999,0.8193315266485999
4,0.8193315266485999,0.8373983739837398
5,0.8193315266485999,0.8193315266485999
6,0.8238482384823849,0.8193315266485999
7,0.8270099367660343,0.8387533875338753
8,0.8193315266485999,0.8383017163504969
9,0.8193315266485999,0.8410117434507678
10,0.8193315266485999,0.8193315266485999
15,0.8346883468834688,0.8193315266485999
20,0.8242999096657633,0.8396567299006323
25,0.8437217705510388,0.8396567299006323
30,0.8446251129177959,0.8401084010840109
35,0.8432700993676604,0.8428184281842819
40,0.8437217705510388,0.8437217705510388
