k,GMM,Kmeans
2,0.00011054574920457447,0.003351747394060784
3,-3.794513487468858e-05,0.0023126413602088895
4,0.024388876843650747,0.024817634109573227
5,0.02241488484744662,0.0025065395693713434
6,0.02515563524432286,0.0045582857536225945
7,0.02402979325394895,0.023147170442628425
8,0.009674137637678425,0.020728862755522624
9,0.02386210418202006,0.02242618468458426
10,0.022947250983511303,0.004001910454670944
15,0.020681845107899267,0.006719247860475613
20,0.014050528040924505,0.01894173457884666
25,0.02517537682899115,0.016032670816937766
30,0.0201083868705195,0.01633704668677564
35,0.01838856380461879,0.016367537102051723
40,0.023064267953197562,0.015472583205244557
