k,type,score,label
2,Kmeans,0.067257,0
2,Kmeans,-0.012535,1
2,Kmeans,0.10516,1
2,Kmeans,0.043781,0
2,Kmeans,0.058084,0
2,Kmeans,0.263317,0
2,Kmeans,-0.008914,1
2,Kmeans,-0.012815,1
2,Kmeans,0.074018,1
2,Kmeans,-0.024824,1
2,Kmeans,0.026485,1
2,Kmeans,0.184085,0
2,Kmeans,0.184314,0
2,Kmeans,0.079799,0
2,Kmeans,0.05373,0
2,Kmeans,0.165993,0
2,Kmeans,0.069207,1
2,Kmeans,0.212277,0
2,Kmeans,0.19838,0
2,Kmeans,0.039878,1
2,Kmeans,-0.008941,1
2,Kmeans,-0.034076,1
2,Kmeans,0.208983,0
2,Kmeans,0.203374,0
2,Kmeans,0.11141,0
2,Kmeans,0.296796,0
2,Kmeans,-0.044559,1
2,Kmeans,0.173053,0
2,Kmeans,0.052979,0
2,Kmeans,0.090605,1
2,Kmeans,0.097991,1
2,Kmeans,0.100706,0
2,Kmeans,0.088395,1
2,Kmeans,0.171087,0
2,Kmeans,0.196339,0
2,Kmeans,0.000921,1
2,Kmeans,0.093318,1
2,Kmeans,0.139217,1
2,Kmeans,0.081914,0
2,Kmeans,0.145678,0
2,Kmeans,-0.016711,1
2,Kmeans,0.084307,1
2,Kmeans,0.078763,1
2,Kmeans,-0.057955,1
2,Kmeans,0.107278,1
2,Kmeans,0.11599,1
2,Kmeans,0.163037,0
2,Kmeans,0.102495,0
2,Kmeans,0.000585,1
2,Kmeans,0.17182,0
2,Kmeans,0.095562,1
2,Kmeans,0.198054,0
2,Kmeans,0.073331,0
2,Kmeans,0.034636,0
2,Kmeans,0.172906,0
2,Kmeans,0.039114,0
2,Kmeans,0.174529,0
2,Kmeans,0.103742,1
2,Kmeans,0.092707,0
2,Kmeans,0.161394,0
2,Kmeans,0.135787,0
2,Kmeans,0.091012,0
2,Kmeans,0.239408,0
2,Kmeans,0.099293,1
2,Kmeans,0.063033,1
2,Kmeans,0.156229,0
2,Kmeans,0.090745,0
2,Kmeans,0.078575,0
2,Kmeans,0.169334,0
2,Kmeans,-0.029005,1
2,Kmeans,0.094519,0
2,Kmeans,-0.056296,1
2,Kmeans,0.205393,0
2,Kmeans,0.058647,0
2,Kmeans,0.071302,1
2,Kmeans,0.146954,1
2,Kmeans,0.007465,1
2,Kmeans,0.07716,1
2,Kmeans,0.132362,0
2,Kmeans,0.024966,1
2,Kmeans,0.163169,0
2,Kmeans,0.172118,0
2,Kmeans,0.088164,1
2,Kmeans,0.097714,0
2,Kmeans,0.164917,0
2,Kmeans,0.278304,0
2,Kmeans,0.090161,0
2,Kmeans,0.058918,1
2,Kmeans,0.060363,1
2,Kmeans,0.189407,0
2,Kmeans,0.026616,1
2,Kmeans,-0.003466,1
2,Kmeans,0.039554,1
2,Kmeans,0.242067,0
2,Kmeans,-0.04715,1
2,Kmeans,0.028442,1
2,Kmeans,0.207387,0
2,Kmeans,-0.025163,1
2,Kmeans,0.103987,1
2,Kmeans,0.065907,0
2,Kmeans,0.129706,0
2,Kmeans,0.00918,1
2,Kmeans,0.118819,0
2,Kmeans,0.241278,0
2,Kmeans,0.200773,1
2,Kmeans,0.099094,1
2,Kmeans,0.206328,0
2,Kmeans,0.116535,1
2,Kmeans,0.145798,0
2,Kmeans,0.115664,0
2,Kmeans,0.225076,0
2,Kmeans,0.267779,0
2,Kmeans,0.080387,0
2,Kmeans,0.00917,1
2,Kmeans,0.027278,1
2,Kmeans,0.119801,1
2,Kmeans,0.20184,0
2,Kmeans,0.105513,1
2,Kmeans,0.198439,0
2,Kmeans,0.252279,0
2,Kmeans,0.069803,1
2,Kmeans,0.162114,0
2,Kmeans,0.029378,1
2,Kmeans,0.197475,0
2,Kmeans,0.031459,1
2,Kmeans,0.101172,0
2,Kmeans,0.057209,1
2,Kmeans,0.128292,1
2,Kmeans,0.178659,0
2,Kmeans,0.120512,0
2,Kmeans,0.241276,0
2,Kmeans,0.209535,0
2,Kmeans,0.200033,0
2,Kmeans,0.161993,0
2,Kmeans,0.166093,0
2,Kmeans,0.061514,1
2,Kmeans,0.167746,0
2,Kmeans,-0.010146,1
2,Kmeans,0.250986,0
2,Kmeans,0.068138,1
2,Kmeans,0.122116,0
2,Kmeans,0.048747,0
2,Kmeans,0.164634,0
2,Kmeans,0.165156,0
2,Kmeans,0.093286,0
2,Kmeans,0.166175,0
2,Kmeans,0.092102,1
2,Kmeans,0.10337,1
2,Kmeans,0.122242,0
2,Kmeans,-0.045374,1
2,Kmeans,0.077242,1
2,Kmeans,0.079178,1
2,Kmeans,-0.050934,1
2,Kmeans,0.03824,1
2,Kmeans,0.096756,0
2,Kmeans,0.18254,0
2,Kmeans,0.0743,0
2,Kmeans,0.128916,1
2,Kmeans,0.202268,0
2,Kmeans,0.077537,1
2,Kmeans,0.184846,0
2,Kmeans,-0.061931,1
2,Kmeans,0.12262,1
2,Kmeans,0.188814,0
2,Kmeans,0.037928,1
2,Kmeans,0.073467,1
2,Kmeans,0.101964,1
2,Kmeans,-0.027162,1
2,Kmeans,0.086987,0
2,Kmeans,0.13036,0
2,Kmeans,0.191392,0
2,Kmeans,0.141423,0
2,Kmeans,0.068429,1
2,Kmeans,0.112875,1
2,Kmeans,0.129383,0
2,Kmeans,0.18282,0
2,Kmeans,0.079157,1
2,Kmeans,0.169336,0
2,Kmeans,0.207988,0
2,Kmeans,0.225988,0
2,Kmeans,0.099717,0
2,Kmeans,0.219367,0
2,Kmeans,0.018017,1
2,Kmeans,-0.008196,1
2,Kmeans,0.039399,1
2,Kmeans,0.149531,1
2,Kmeans,0.270891,0
2,Kmeans,-0.027342,1
2,Kmeans,0.234672,0
2,Kmeans,-0.017266,1
2,Kmeans,0.109366,1
2,Kmeans,0.034245,1
2,Kmeans,0.157166,0
2,Kmeans,0.157433,0
2,Kmeans,0.187606,0
2,Kmeans,0.093034,1
2,Kmeans,-0.013411,1
2,Kmeans,0.119274,1
2,Kmeans,-0.016118,1
2,Kmeans,0.161197,0
2,Kmeans,0.117783,1
2,Kmeans,-0.004985,1
2,Kmeans,0.05727,1
2,Kmeans,0.142171,0
2,Kmeans,0.122667,1
2,Kmeans,0.127331,0
2,Kmeans,-0.02969,1
2,Kmeans,-0.013899,1
2,Kmeans,0.232679,0
2,Kmeans,0.091766,1
2,Kmeans,0.052678,1
2,Kmeans,0.11024,1
2,Kmeans,0.095327,0
2,Kmeans,0.059623,1
2,Kmeans,0.076607,1
2,Kmeans,-0.038603,1
2,Kmeans,0.192644,0
2,Kmeans,0.180988,0
2,Kmeans,0.113137,0
2,Kmeans,0.220388,0
2,Kmeans,0.158759,0
2,Kmeans,0.090968,0
2,Kmeans,0.172275,0
2,Kmeans,0.11459,1
2,Kmeans,0.081399,0
2,Kmeans,0.075113,1
2,Kmeans,0.126842,0
2,Kmeans,0.151228,0
2,Kmeans,-0.017802,1
2,Kmeans,0.08016,1
2,Kmeans,0.081235,1
2,Kmeans,0.070296,0
2,Kmeans,-0.001196,1
2,Kmeans,0.203466,0
2,Kmeans,0.122071,1
2,Kmeans,0.078192,1
2,Kmeans,-0.010189,1
2,Kmeans,0.23353,0
2,Kmeans,0.166605,0
2,Kmeans,0.041739,1
2,Kmeans,0.052631,0
2,Kmeans,0.091837,1
2,Kmeans,0.272443,0
2,Kmeans,0.205421,0
2,Kmeans,0.112685,0
2,Kmeans,0.170691,0
2,Kmeans,0.00536,1
2,Kmeans,0.179818,0
2,Kmeans,0.205922,0
2,Kmeans,0.176457,1
2,Kmeans,0.085976,1
2,Kmeans,0.145596,1
2,Kmeans,0.104006,1
2,Kmeans,0.15075,1
2,Kmeans,0.021929,1
2,Kmeans,0.208156,0
2,Kmeans,0.066357,1
2,Kmeans,0.08491,1
2,Kmeans,0.0957,0
2,Kmeans,0.043294,1
2,Kmeans,0.011443,1
2,Kmeans,0.087565,1
2,Kmeans,0.074212,1
2,Kmeans,0.208106,0
2,Kmeans,0.231515,0
2,Kmeans,0.115255,0
2,Kmeans,0.096253,1
2,Kmeans,0.132482,0
2,Kmeans,0.111603,1
2,Kmeans,0.007459,1
2,Kmeans,0.118686,0
2,Kmeans,0.08071,1
2,Kmeans,0.161426,0
2,Kmeans,0.143064,1
2,Kmeans,0.13593,1
2,Kmeans,0.074776,0
2,Kmeans,0.155499,0
2,Kmeans,0.071785,1
2,Kmeans,0.152567,0
2,Kmeans,0.069068,1
2,Kmeans,0.169253,1
2,Kmeans,0.091307,1
2,Kmeans,0.10922,1
2,Kmeans,0.023399,1
2,Kmeans,0.035831,1
2,Kmeans,0.210723,0
2,Kmeans,-0.043188,1
2,Kmeans,0.033384,1
2,Kmeans,0.129449,0
2,Kmeans,-0.044678,1
2,Kmeans,-0.012873,1
2,Kmeans,0.065038,1
2,Kmeans,-0.054897,1
2,Kmeans,0.241046,0
2,Kmeans,0.12523,0
2,Kmeans,0.227698,0
2,Kmeans,0.042584,1
2,Kmeans,0.172385,0
2,Kmeans,0.095814,1
2,Kmeans,-0.010319,1
2,Kmeans,0.059895,1
2,Kmeans,0.089816,1
2,Kmeans,0.142771,0
2,Kmeans,-0.024669,1
2,Kmeans,0.13897,0
2,Kmeans,0.122008,0
2,Kmeans,0.138681,0
2,Kmeans,0.236261,0
2,Kmeans,-0.02265,1
2,Kmeans,0.112143,0
2,Kmeans,-0.001408,1
2,Kmeans,0.017813,1
2,Kmeans,0.068322,1
2,Kmeans,0.239637,0
2,Kmeans,0.091372,1
2,Kmeans,-0.02759,1
2,Kmeans,0.061476,0
2,Kmeans,0.115852,1
2,Kmeans,-0.036862,1
2,Kmeans,0.086388,1
2,Kmeans,0.134993,0
2,Kmeans,0.136065,1
2,Kmeans,0.219925,0
2,Kmeans,0.265574,0
2,Kmeans,0.080823,1
2,Kmeans,0.108505,0
2,Kmeans,0.171348,0
2,Kmeans,0.095846,1
2,Kmeans,-0.055501,1
2,Kmeans,0.152754,0
2,Kmeans,0.138316,0
2,Kmeans,0.240558,0
2,Kmeans,0.062424,1
2,Kmeans,-0.036857,1
2,Kmeans,0.186588,0
2,Kmeans,0.130935,1
2,Kmeans,0.009067,1
2,Kmeans,-0.024208,1
2,Kmeans,-0.044413,1
2,Kmeans,-0.032343,1
2,Kmeans,0.061617,1
2,Kmeans,-0.027392,1
2,Kmeans,0.1788,0
2,Kmeans,0.176428,0
2,Kmeans,0.050135,0
2,Kmeans,0.189358,0
2,Kmeans,0.13418,1
2,Kmeans,0.229809,0
2,Kmeans,0.080555,1
2,Kmeans,0.202065,0
2,Kmeans,0.133148,0
2,Kmeans,0.159379,0
2,Kmeans,0.041437,1
2,Kmeans,0.029002,1
2,Kmeans,0.21406,0
2,Kmeans,0.228027,0
2,Kmeans,0.093882,1
2,Kmeans,0.210091,0
2,Kmeans,0.093298,0
2,Kmeans,0.178273,0
2,Kmeans,0.029271,1
2,Kmeans,0.212838,0
2,Kmeans,0.135092,1
2,Kmeans,0.073978,0
2,Kmeans,0.211935,0
2,Kmeans,0.230673,0
2,Kmeans,0.167995,0
2,Kmeans,0.070092,1
