k,GMM,Kmeans
2,0.2564028057334819,0.10984112166158633
3,0.15941153893911647,0.11127388282937001
4,0.14900034649188015,0.11072205168279559
5,0.1435665274900276,0.10523548443812213
6,0.050361573492545074,0.08483831177241836
7,0.14207763692282416,0.10324406581292028
8,0.01041055534510151,0.11737169888435993
9,0.13480549058314253,0.10031147545751984
10,0.09824464380333565,0.1305076254544189
15,0.03569728800055796,0.13123813154229957
20,0.042983997323763776,0.14873131446705423
25,0.010165559552475861,0.13892145830709512
30,0.018736147624121634,0.13396080622883821
35,0.014533516836352662,0.1531152771287209
40,-0.016042898094017967,0.15108218164569515
