k,GMM,Kmeans
2,0.6944560233430596,0.7090454355981659
3,0.6715298040850355,0.716548561900792
4,0.7057107127969987,0.7390579408086703
5,0.7040433513964152,0.74822842851188
6,0.7428095039599834,0.7657357232180075
7,0.7169654022509379,0.7903293038766153
8,0.7253022092538558,0.7515631513130471
9,0.7219674864526886,0.7686536056690287
10,0.7232180075031263,0.7548978741142143
15,0.7394747811588162,0.7965819091288037
20,0.74822842851188,0.7957482284285119
25,0.7428095039599834,0.7861609003751563
30,0.9512296790329304,0.7949145477282201
35,0.7478115881617341,0.7986661108795331
40,0.7694872863693205,0.7978324301792413
