k,GMM,Kmeans
2,0.03529121467471129,0.13127099550059973
3,0.054605411215020605,0.10757561670217733
4,0.03930607443638905,0.09964177195607235
5,0.04229731692803969,0.10664833918631911
6,0.052096334888618805,0.09885324314663509
7,0.03571212602976448,0.09903359997423647
8,0.05077452883489084,0.08200191575837534
9,0.04534639971915832,0.07941860871573976
10,0.0473184482334383,0.07705040596352572
15,0.042078945285008856,0.08035084886632046
20,0.04963100559245365,0.0744023070152951
25,0.041521612991465284,0.06887191292501942
30,0.2728030631486757,0.06455750399816593
35,0.039959349080700445,0.060619063979698545
40,0.04956230825446787,0.05954316640743324
