k,type,score,label
2,Kmeans,0.015715,0
2,Kmeans,0.281458,1
2,Kmeans,0.028185,1
2,Kmeans,0.356069,1
2,Kmeans,0.344611,0
2,Kmeans,0.082853,0
2,Kmeans,0.103641,0
2,Kmeans,0.290198,0
2,Kmeans,0.399332,0
2,Kmeans,0.186454,0
2,Kmeans,0.172861,1
2,Kmeans,0.227687,1
2,Kmeans,0.102706,1
2,Kmeans,0.194069,1
2,Kmeans,0.253115,1
2,Kmeans,0.399118,1
2,Kmeans,0.329687,0
2,Kmeans,0.327049,0
2,Kmeans,0.401428,1
2,Kmeans,0.079893,0
2,Kmeans,0.173255,1
2,Kmeans,0.069077,1
2,Kmeans,0.032137,1
2,Kmeans,0.01406,0
2,Kmeans,0.243525,1
2,Kmeans,0.178651,0
2,Kmeans,0.446106,0
2,Kmeans,0.438757,0
2,Kmeans,0.41703,1
2,Kmeans,0.407201,0
2,Kmeans,0.152643,0
2,Kmeans,0.345744,0
2,Kmeans,0.066973,1
2,Kmeans,0.40923,1
2,Kmeans,0.286057,0
2,Kmeans,0.202996,1
2,Kmeans,0.420301,1
2,Kmeans,0.442084,0
2,Kmeans,0.15762,1
2,Kmeans,0.2294,1
2,Kmeans,0.187637,0
2,Kmeans,0.171634,1
2,Kmeans,0.339678,1
2,Kmeans,0.375848,1
2,Kmeans,0.417027,0
2,Kmeans,0.320117,1
2,Kmeans,0.418111,0
2,Kmeans,0.38957,0
2,Kmeans,0.423895,1
2,Kmeans,0.354074,1
2,Kmeans,0.216354,0
2,Kmeans,0.176044,1
2,Kmeans,0.405045,1
2,Kmeans,0.153101,1
2,Kmeans,0.418964,0
2,Kmeans,0.093081,0
2,Kmeans,0.154442,1
2,Kmeans,0.130855,1
2,Kmeans,0.366165,0
2,Kmeans,0.091561,1
2,Kmeans,0.328138,1
2,Kmeans,0.170604,1
2,Kmeans,0.052017,0
2,Kmeans,0.364023,1
2,Kmeans,0.420809,1
2,Kmeans,0.326508,1
2,Kmeans,0.086394,1
2,Kmeans,0.315229,1
2,Kmeans,0.431685,1
2,Kmeans,0.328904,1
2,Kmeans,0.33293,1
2,Kmeans,0.326372,1
2,Kmeans,0.253519,0
2,Kmeans,0.357584,1
2,Kmeans,0.077931,0
2,Kmeans,0.453757,1
2,Kmeans,0.460772,1
2,Kmeans,0.438757,0
2,Kmeans,-0.005137,0
2,Kmeans,0.424519,1
2,Kmeans,0.451627,1
2,Kmeans,0.401329,1
2,Kmeans,0.124872,0
2,Kmeans,0.12801,0
2,Kmeans,0.360686,1
2,Kmeans,0.041621,0
2,Kmeans,0.128745,0
2,Kmeans,0.397255,1
2,Kmeans,0.161998,1
2,Kmeans,0.214895,1
2,Kmeans,0.127526,0
2,Kmeans,0.42516,0
2,Kmeans,0.43862,0
2,Kmeans,0.250841,0
2,Kmeans,0.049965,1
2,Kmeans,0.43622,1
