k,GMM,Kmeans
2,0.25181867154566634,0.275351152759614
3,0.1998386538203158,0.166249958735854
4,0.04286618702499598,0.16712820603747847
5,0.04583907390461246,0.16612819018101227
6,0.02634565823240916,0.15986008947488164
7,0.02254179310814667,0.14655987886607338
8,0.0015232847361408134,0.14879726238172794
9,0.005196395942171292,0.1488920487793363
10,0.00482123619791556,0.14321840944451594
15,-0.014110004840058348,0.14124503385642362
20,0.0003910243669963057,0.14003487836279824
25,-0.005225187404103445,0.13956850990337866
30,-0.1293222743190213,0.13290365238015484
35,-0.00718708784554345,0.12833454809050915
40,-0.008869200747563935,0.12933274928866217
