,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_rp__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.11715960502624512,0.034085623304505853,0.0,0.0,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 2}",0.5810926773455377,0.5908848207475209,0.5951945080091532,0.5795841952041677,0.6035058990270437,0.5900515492224321,0.008919631608385105,288,0.5972186389175554,0.6026115124412338,0.6015114379084967,0.5824605549510337,0.5935116712483057,0.5954627630933251,0.007261382239383954
1,0.17105255126953126,0.08004928606447917,0.0,0.0,0.1,"(50, 50)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 3}",0.602755530129672,0.5787662090007628,0.6018306636155606,0.5195931969662146,0.4978070175438597,0.5601805411969527,0.04342350329422051,315,0.6116038155028094,0.619485294117647,0.6042669991973396,0.5374113500563159,0.5008140164748104,0.5747162950697845,0.047098624731229104
2,0.17730145454406737,0.035059946240363564,0.0,0.0,0.1,"(50, 50)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 4}",0.6223970251716247,0.6187833714721586,0.6289378337147216,0.6821085191143799,0.670008810235195,0.6444286687953306,0.026291242185988904,265,0.6233803462905629,0.6861114694415777,0.6480173575278064,0.6483040180020235,0.6583797462917357,0.6528385875107412,0.020245412653653334
3,0.2574904441833496,0.05369546982144645,0.0,0.0,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 5}",0.8092963386727688,0.7887681159420289,0.8342868039664377,0.7771489312801655,0.8251168313797594,0.806926782616329,0.02145268216954455,251,0.8155888086228644,0.8023037065703474,0.8321669676642587,0.7904941130710345,0.8154879087681117,0.8112083009393235,0.01403665901516073
4,0.17730321884155273,0.015631277007002606,0.0,0.0,0.1,"(50, 50)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 6}",0.8823035850495804,0.8550629290617849,0.871434019832189,0.8633886845935802,0.8939180648126869,0.8732182875229204,0.013712971523535986,216,0.8815646141497534,0.8785886796238963,0.882942394794175,0.880311539526182,0.8775661354828855,0.8801946727153783,0.0019457027419357122
5,0.20360245704650878,0.04002078521852751,0.0031243324279785155,0.006248664855957031,0.1,"(50, 50)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 7}",0.8964626239511823,0.8974637681159421,0.9368993135011443,0.907075959549529,0.9321803416839042,0.9140131272942631,0.01722884257390537,176,0.926305756220617,0.9265942122463019,0.9440771557160875,0.9097205319473873,0.9056295697077295,0.9224654451676246,0.013745837587406062
6,0.3514878749847412,0.0285647000585413,0.0031290054321289062,0.0062580108642578125,0.1,"(50, 50)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 8}",0.9803585049580472,0.9880339435545387,0.9815122044241038,0.9967201026583927,0.9978165938864629,0.9888833807023907,0.0073334403193558466,77,0.9934533023735811,0.9940051312922831,0.9888147144822842,0.9950950212855314,0.995369144092549,0.9933474627052457,0.0023719482743866202
7,0.47046728134155275,0.06044359756421443,0.0,0.0,0.1,"(50, 50)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 9}",0.9858218916857362,0.9879958047292143,0.9978260869565216,0.9956331877729259,0.9956331877729259,0.9925802516457812,0.004751649425673359,41,0.9918193154454764,0.9923675610595115,0.9983660130718954,1.0,0.9983636151041368,0.996183300936204,0.0033967465036892786
8,0.34081339836120605,0.07241296163730841,0.0044307708740234375,0.006141507371871902,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 10}",0.9641018306636157,0.983647978642258,0.9956331045003814,0.9967105263157895,0.9890733930897113,0.9858292484433661,0.011849914319386276,90,0.9697157006077285,0.9937238418759317,0.9959024911134043,0.9959048617872209,0.9874613424202507,0.9885416475609073,0.009907950518108444
9,0.30072460174560545,0.0351842215817859,0.003124237060546875,0.00624847412109375,0.1,"(50, 50)",11,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 11}",0.9945556826849733,0.9803775743707095,1.0,0.9934402053167855,0.9879769018616411,0.9912704004543235,0.006653032462825191,60,0.9967284428391241,0.9959096577227382,0.9983624297672284,0.9907382881850981,0.9885578336483208,0.994059330432502,0.0037512751026843403
